Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
274,Swallow,-,-,-,"$33,419",39,"$33,419",Mar 6,IFC Films,false
275,Nick Mason's Saucerful of Secrets - Live at The Roundhouse,-,-,-,"$32,444",42,"$32,444",Mar 6,Trafalgar Releasing,false
276,Embattled,-,-,-,"$32,234",68,"$32,259",Nov 20,IFC Films,false
277,Max Winslow and the House of Secrets,-,-,-,"$31,250",16,"$31,250",May 29,3DLive AXO,false
278,Rent-A-Pal,-,-,-,"$30,901",56,"$30,901",Sep 11,IFC Films,false
279,After Parkland,-,-,-,"$30,444",71,"$30,444",Feb 12,Kino Lorber,false
280,Olympic Dreams,-,-,-,"$29,450",35,"$29,450",Feb 14,IFC Films,false
281,Buffaloed,-,-,-,"$29,118",9,"$29,118",Feb 14,Magnolia Pictures,false
282,Spree,-,-,-,"$28,771",33,"$28,771",Aug 14,RLJE Films,false
283,Bacurau,-,-,-,"$27,634",6,"$58,115",Mar 6,Kino Lorber,false
284,Countdown,-,-,-,"$27,397","2,675","$25,621,766",Oct 25,STX Entertainment,false
285,"Cane River
2020 Re-release",-,-,-,"$27,317",6,"$27,317",Feb 7,Oscilloscope,false
286,Midnight Family,-,-,-,"$26,773",13,"$42,310",Dec 6,1091 Pictures,false
287,José,-,-,-,"$26,563",2,"$26,563",Jan 31,Outsider Pictures,false
288,Synonyms,-,-,-,"$26,181",13,"$206,003",Oct 25,Kino Lorber,false
289,The Booksellers,-,-,-,"$25,694",3,"$25,694",Mar 6,Greenwich Entertainment,false
290,Promare,-,-,-,"$25,615",701,"$2,313,596",Sep 17,GKIDS,false
291,Unsubscribe,-,-,-,"$25,488",1,"$25,488",Jun 10,-,false
292,Disappearance at Clifton Hill,-,-,-,"$25,084",19,"$25,084",Feb 28,IFC Films,false
293,The Dissident,-,-,-,"$25,000",160,"$57,000",Dec 25,Madman Entertainment,false
294,Zombi Child,-,-,-,"$24,253",9,"$25,878",Jan 24,Film Movement,false
295,Heart of Africa,-,-,-,"$24,139",20,"$24,139",Mar 13,Purdie Distribution,false
296,Born to Be Wild,-,-,-,"$24,051",208,"$25,978,556",Apr 8,Warner Bros.,false
297,Tread,-,-,-,"$24,000",25,"$36,527",Feb 21,Gravitas Ventures,false
298,Branagh Theatre Live: The Winter's Tale,-,-,-,"$23,934",106,"$141,143",Dec 4,Trafalgar Releasing,false
299,"Phoenix, Oregon
Re-release",-,-,-,"$23,613",33,"$23,613",Mar 20,Aspiration Entertainment,false
300,Premature,-,-,-,"$23,071",29,"$23,071",Feb 21,IFC Films,false
301,"L'Innocente
2020 Re-release",-,-,-,"$22,549",2,"$22,549",Feb 14,Film Movement,false
302,Tar,-,-,-,"$22,307",18,"$22,307",Oct 2,1091 Pictures,false
303,Recorder: The Marion Stokes Project,-,-,-,"$21,719",5,"$55,632",Nov 15,Zeitgeist Films,false
304,Les Misérables: The Staged Concert,-,-,-,"$21,267",488,"$459,478",Dec 6,Trafalgar Releasing,false
305,The Cordillera of Dreams,-,-,-,"$20,943",8,"$20,943",Feb 12,Icarus Films,false
306,She Is the Ocean,-,-,-,"$20,211",38,"$20,211",Oct 16,Blue Fox Entertainment,false
307,Lore,-,-,-,"$20,006",7,"$20,006",Jan 17,Indican Pictures,false
308,Hunter Hunter,-,-,-,"$20,000",30,"$32,705",Dec 18,IFC Films,false
309,Foster Boy,-,-,-,"$19,873",15,"$19,873",Sep 18,Gravitas Ventures,false
310,"Mandy
2020 Re-release",-,-,-,"$19,169",29,"$19,169",Oct 30,-,false
311,"Downtown 81
2019 Re-release",-,-,-,"$18,736",8,"$123,387",Oct 25,Metrograph Pictures,false
312,The Rescue,-,-,-,"$18,490",61,"$18,797",Dec 18,CMC Pictures,false
313,Shithouse,-,-,-,"$18,343",28,"$18,370",Oct 16,IFC Films,false
314,The Jesus Rolls,-,-,-,"$18,169",4,"$18,169",Feb 28,Variance Films,false
315,Sputnik,-,-,-,"$18,004",32,"$18,853",Aug 14,IFC Films,false
316,"Made in Hong Kong
2020 Re-release",-,-,-,"$17,843",1,"$17,843",Mar 6,Metrograph Pictures,false
317,Sorry We Missed You,-,-,-,"$17,836",6,"$28,273",Mar 6,-,false
318,"Pandora and the Flying Dutchman
2020 Re-release",-,-,-,"$17,401",2,"$17,401",Feb 7,Cohen Media Group,false
319,Never Rarely Sometimes Always,-,-,-,"$16,565",4,"$16,565",Mar 13,Focus Features,false
320,Advocate,-,-,-,"$15,799",2,"$16,942",Jan 3,Film Movement,false
321,Zappa,-,-,-,"$15,502",70,"$15,502",Nov 25,Magnolia Pictures,false
322,American Deep State,-,-,-,"$15,269",3,"$15,269",Aug 14,Strasson Group,false
323,A Beautiful Planet,-,-,-,"$14,951",155,"$15,650,615",Apr 29,IMAX,false
324,Counter Column,-,-,-,"$14,791",7,"$15,529",Oct 16,Not That Kind of Movie Productions,false
325,"I Was at Home, But...",-,-,-,"$14,078",4,"$14,078",Feb 14,The Cinema Guild,false
326,Strike,-,-,-,"$13,902",2,"$15,758",Mar 27,Indican Pictures,false
327,Centigrade,-,-,-,"$13,473",28,"$16,263",Aug 28,IFC Films,false
328,The Cave,-,-,-,"$12,658",10,"$62,625",Oct 18,National Geographic Entertainment,false
329,The Kingmaker,-,-,-,"$12,639",18,"$122,587",Nov 8,Greenwich Entertainment,false
330,Redoubt,-,-,-,"$12,275",3,"$33,155",Nov 1,Grasshopper Film,false
331,Young Ahmed,-,-,-,"$12,182",4,"$21,291",Feb 21,Kino Lorber,false
332,Linda Ronstadt: The Sound of My Voice,-,-,-,"$12,148",247,"$4,252,657",Sep 6,Greenwich Entertainment,false
333,Straight Up,-,-,-,"$12,026",5,"$16,080",Feb 28,Strand Releasing,false
334,Balloon,-,-,-,"$11,913",5,"$34,222",Sep 6,Distrib Films,false
335,The Grizzlies,-,-,-,"$11,650",16,"$11,650",Jul 31,Hammond Entertainment,false
336,Twiceborn,-,-,-,"$11,527",10,"$11,527",Oct 16,Freestyle Releasing,false
337,Draupadi Unleashed,-,-,-,"$11,317",15,"$11,317",Sep 24,Passion River Films,false
338,The Wild Goose Lake,-,-,-,"$11,067",5,"$12,573",Mar 6,Film Movement,false
339,You Go to My Head,-,-,-,"$10,682",2,"$10,682",Feb 14,First Run,false
340,Playmobil: The Movie,-,-,-,"$10,525","2,337","$1,115,008",Dec 6,STX Entertainment,false
341,Vitalina Varela,-,-,-,"$10,329",5,"$14,941",Feb 21,Grasshopper Film,false
342,Coded Bias,-,-,-,"$10,236",1,"$10,236",Nov 11,7th Empire Media,false
343,The Last Tree,-,-,-,"$10,128",73,"$10,128",Jun 26,ArtMattan Productions,false
344,Sometimes Always Never,-,-,-,"$10,107",22,"$39,191",Jun 12,Blue Fox Entertainment,false
345,Foosballers,-,-,-,"$9,966",9,"$9,966",Feb 11,Kicking + Screening Media Group,false
346,The Perfect Race,-,-,-,"$9,835",2,"$29,644",Oct 14,Five & Two Pictures,false
347,The Truth,-,-,-,"$9,619",12,"$9,619",Jul 3,IFC Films,false
348,Under the Sea 3D,-,-,-,"$9,462",108,"$36,262,926",Feb 13,Warner Bros.,false
349,Stardust,-,-,-,"$9,060",44,"$9,087",Nov 25,IFC Films,false
350,Kindred,-,-,-,"$8,921",50,"$8,921",Nov 6,IFC Films,false
351,"Kind Hearts and Coronets
2019 Re-release",-,-,-,"$8,425",3,"$35,948",Nov 27,Rialto Pictures,false
352,The Trip to Greece,-,-,-,"$8,340",11,"$8,340",May 22,IFC Films,false
353,Inside the Rain,-,-,-,"$8,140",1,"$8,140",Mar 13,Sky Island Films,false
354,The Wave,-,-,-,"$8,101",13,"$8,101",Jan 17,-,false
355,Black and Blue,-,-,-,"$7,807","2,062","$22,055,313",Oct 25,Screen Gems,false
356,The Bra,-,-,-,"$7,745",2,"$8,314",Oct 16,Indican Pictures,false
357,American Dharma,-,-,-,"$7,513",11,"$51,891",Nov 1,Utopia,false
358,Resistance,-,-,-,"$7,464",1,"$7,464",Mar 27,IFC Films,false
359,Killer Raccoons! 2! Dark Christmas in the Dark!,-,-,-,"$7,447",12,"$13,282",Jul 31,Indican Pictures,false
360,I Am Lisa,-,-,-,"$6,986",3,"$6,986",Oct 9,-,false
361,What We Found,-,-,-,"$6,976",8,"$6,976",Jul 31,Freestyle Releasing,false
362,Circles,-,-,-,"$6,967",3,"$10,260",-,Indican Pictures,false
363,12 Hour Shift,-,-,-,"$6,820",12,"$6,820",Oct 2,Magnolia Pictures,false
364,Human Capital,-,-,-,"$6,596",12,"$6,596",Jul 17,Vertical Entertainment,false
365,Guest Artist,-,-,-,"$6,506",2,"$10,017",Jul 10,Indican Pictures,false
366,Afterward,-,-,-,"$6,477",1,"$6,477",Jan 10,Abramorama,false
367,By the Grace of God,-,-,-,"$6,306",11,"$67,059",Oct 18,Music Box Films,false
368,Hubble 3D,-,-,-,"$6,068",151,"$52,522,904",Mar 19,Warner Bros.,false
369,The Other Lamb,-,-,-,"$6,024",1,"$6,024",Apr 3,IFC Films,false
370,Lie Exposed,-,-,-,"$5,938",2,"$5,938",Sep 25,Indican Pictures,false
371,Human Nature,-,-,-,"$5,487",2,"$5,487",Mar 13,Greenwich Entertainment,false
372,In the Life of Music,-,-,-,"$5,455",1,"$7,238",Aug 14,Indican Pictures,false
373,Matthias & Maxime,-,-,-,"$5,376",53,"$374,739",Oct 9,Entertainment One,false
374,Que Leones,-,-,-,"$5,371",3,"$822,828",Dec 5,Spanglish Movies,false
375,Made in Bangladesh,-,-,-,"$5,322",57,"$5,322",Aug 28,ArtMattan Productions,false
376,The Disappearance of My Mother,-,-,-,"$5,251",3,"$24,951",Dec 6,Kino Lorber,false
377,Sympathy for the Devil,-,-,-,"$5,223",8,"$51,150",Nov 29,-,false
378,Still Here,-,-,-,"$5,121",26,"$5,268",Aug 28,Blue Fox Entertainment,false
379,Tremors,-,-,-,"$5,047",6,"$23,911",Nov 29,Film Movement,false
380,Blood Widow,-,-,-,"$5,035",2,"$6,047",Aug 4,Indican Pictures,false
381,Ottolenghi and the Cakes of Versailles,-,-,-,"$4,935",26,"$4,962",Sep 25,IFC Films,false
382,Just One More Kiss,-,-,-,"$4,900",2,"$9,130",Feb 21,Indican Pictures,false
383,Find Your Voice,-,-,-,"$4,780",1,"$6,019",Sep 11,Indican Pictures,false
384,Farewell Amor,-,-,-,"$4,689",19,"$4,689",Dec 11,IFC Films,false
385,No Ordinary Love,-,-,-,"$4,656",3,"$4,656",Oct 23,-,false
386,Last Call,-,-,-,"$4,644",17,"$4,779",Nov 25,K Street Pictures,false
387,Give Me Liberty,-,-,-,"$4,603",18,"$242,734",Aug 23,Music Box Films,false
388,Bang! Bang!,-,-,-,"$4,583",1,"$5,042",Oct 23,Indican Pictures,false
389,Babyteeth,-,-,-,"$4,507",12,"$4,507",Jun 19,IFC Films,false
390,Sex and the Future,-,-,-,"$4,448",2,"$5,745",Jun 5,Indican Pictures,false
391,Deep Sea,-,-,-,"$4,205",47,"$46,412,757",Mar 3,Warner Bros.,false
392,Dear Santa,-,-,-,"$4,109",38,"$4,109",Dec 4,IFC Films,false
393,Lost in America,-,-,-,"$4,075",2,"$11,301",Feb 28,Indican Pictures,false
394,Stuffed,-,-,-,"$3,939",3,"$15,532",Oct 16,Music Box Films,false
395,Maiden,-,-,-,"$3,817",180,"$3,168,978",Jun 28,Sony Pictures Classics,false
396,Aquarela,-,-,-,"$3,706",69,"$307,346",Aug 16,Sony Pictures Classics,false
397,Bump Kowalski and the Ten Commandments,-,-,-,"$3,690",1,"$3,690",-,Phantom Mentor Digital,false
398,"A Bigger Splash
2019 Re-release",-,-,-,"$3,610",11,"$95,826",Jun 21,Metrograph Pictures,false
399,The Roads Not Taken,-,-,-,"$3,518",3,"$3,518",Mar 13,Bleecker Street Media,false
400,Ip Man: Kung Fu Master,-,-,-,"$3,439",7,"$3,439",Dec 11,Magnolia Pictures,false
401,"Mr. Klein
Re-release",-,-,-,"$3,310",6,"$193,028",Sep 6,Rialto Pictures,false
402,Ága,-,-,-,"$3,091",3,"$35,178",Sep 4,Big World Pictures,false
403,The Hottest August,-,-,-,"$3,034",2,"$9,163",Nov 15,Grasshopper Film,false
404,Killing Sarai,-,-,-,"$3,001",160,"$425,332",Dec 6,Pantelion Films,false
405,Chinese Portrait,-,-,-,"$2,982",2,"$4,140",Dec 13,The Cinema Guild,false
406,Hustlers,-,-,-,"$2,955","3,525","$104,963,598",Sep 13,STX Entertainment,false
407,I'll Take Your Dead,-,-,-,"$2,831",5,"$10,523",Jul 5,Breakthrough Entertainment,false
408,Dreaming Grand Avenue,-,-,-,"$2,806",3,"$7,789",Sep 25,Newcity,false
409,Powerbomb,-,-,-,"$2,607",3,"$11,319",Mar 6,Indican Pictures,false
410,Light from Light,-,-,-,"$2,472",5,"$24,808",Nov 1,Grasshopper Film,false
411,Crock of Gold: A Few Rounds with Shane MacGowan,-,-,-,"$2,455",32,"$2,455",Dec 4,Magnolia Pictures,false
412,Moondance,-,-,-,"$2,371",9,"$2,371",Mar 13,-,false
413,Goldie,-,-,-,"$2,302",10,"$2,302",Feb 21,Film Movement,false
414,"Duet for Cannibals
2019 re-release",-,-,-,"$2,060",4,"$12,962",Nov 22,Metrograph Pictures,false
415,Mermaid in Paris,-,-,-,"$1,988",10,"$1,988",Oct 16,Sony Pictures Entertainment (SPE),false
416,The Bay of Silence,-,-,-,"$1,941",16,"$1,941",Aug 14,Vertical Entertainment,false
417,Little Joe,-,-,-,"$1,914",12,"$23,862",Dec 6,Magnolia Pictures,false
418,Frankie,-,-,-,"$1,912",117,"$171,781",Oct 25,Sony Pictures Classics,false
419,The Shade Shepherd,-,-,-,"$1,897",1,"$2,116",Oct 16,Indican Pictures,false
420,Christ Stopped at Eboli,-,-,-,"$1,893",3,"$78,736",Apr 3,Rialto Pictures,false
421,Be Natural: The Untold Story of Alice Guy-Blaché,-,-,-,"$1,888",14,"$115,804",Apr 19,Zeitgeist Films,false
422,To the Arctic 3D,-,-,-,"$1,867",52,"$14,560,838",Apr 20,Warner Bros.,false
423,The Transcendents,-,-,-,"$1,708",1,"$2,041",Jun 26,Indican Pictures,false
424,Edie,-,-,-,"$1,652",11,"$71,790",Sep 6,Music Box Films,false
425,"Amigo Skate, Cuba",-,-,-,"$1,607",1,"$3,032",Nov 20,Indican Pictures,false
426,The Painted Bird,-,-,-,"$1,460",8,"$1,460",Jul 17,IFC Films,false
427,End of the Century,-,-,-,"$1,429",6,"$66,309",Aug 16,The Cinema Guild,false
428,Space Station 3D,-,-,-,"$1,394",64,"$93,383,953",Apr 19,IMAX,false
429,Hai Tang Hong,-,-,-,"$1,107",30,"$1,107",Feb 21,M Star International,false
430,The Gliksmans,-,-,-,"$1,086",3,"$5,166",Sep 27,Indican Pictures,false
431,Parallel Policy,-,-,-,"$1,070",-,"$1,070",Dec 20,GathrFilms,false
432,The Fox Hunter,-,-,-,$962,1,"$1,577",Jun 5,Indican Pictures,false
433,King's Gambit,-,-,-,$876,2,"$3,816",Mar 6,Indican Pictures,false
434,10 Days with Dad,-,-,-,$856,1,$856,Nov 20,Distrib Films,false
435,Fear Pharm,-,-,-,$672,1,"$1,157",Sep 11,Indican Pictures,false
436,"Millennium Actress
2019 Re-release",-,-,-,$578,512,"$225,250",Aug 13,Fathom Events,false
437,Spiral Farm,-,-,-,$537,3,"$6,517",Dec 13,Indican Pictures,false
438,Night Shift,-,-,-,$534,1,$534,Nov 20,Distrib Films,false
439,"Greater
2020 Re-release",-,-,-,$527,1,$527,Aug 28,Hammond Entertainment,false
440,Evergreen,-,-,-,$517,2,"$6,023",Dec 25,Indican Pictures,false
441,A German Youth,-,-,-,$509,1,"$2,343",Oct 11,Big World Pictures,false
442,Neither Wolf Nor Dog,-,-,-,$452,1,"$606,511",Jan 20,InYo Entertainment,false
443,Granny Nanny,-,-,-,$432,1,$432,Nov 27,Distrib Films,false
444,Hyenas,-,-,-,$400,4,"$24,672",Apr 19,Metrograph Pictures,false
445,Island of Lemurs: Madagascar,-,-,-,$374,302,"$11,272,213",Apr 4,Warner Bros.,false
446,Sol,-,-,-,$327,1,$327,Nov 20,Distrib Films,false
447,I Do Not Care If We Go Down in History as Barbarians,-,-,-,$293,2,"$11,307",Jul 19,Big World Pictures,false
448,The Load,-,-,-,$292,2,"$28,410",Aug 30,Grasshopper Film,false
449,It's for Your Own Good,-,-,-,$256,1,$256,Nov 27,Distrib Films,false
450,Asako I & II,-,-,-,$231,3,"$25,559",May 17,Grasshopper Film,false
451,Chained for Life,-,-,-,$115,3,"$17,431",Sep 13,Kino International,false
452,Shooting the Mafia,-,-,-,$88,3,"$10,881",Nov 22,Cohen Media Group,false
453,Benjamin the Elephant (2020),-,-,-,$49,1,$49,Oct 16,Viva Pictures,false
454,Love Goes Public,-,-,-,$38,-,"$5,738",Oct 25,Aspiration Entertainment,false
