Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
453,Keep the Change,-,-,-,"$202,788",13,"$202,788",Mar 16,Kino Lorber,false
454,The Bolshoi Ballet: Live From Moscow - Coppélia,-,-,-,"$202,217",360,"$202,217",Jun 10,Fathom Events,false
455,Zama,-,-,-,"$200,600",19,"$200,600",Apr 13,Strand Releasing,false
456,Gemini,-,-,-,"$200,340",56,"$200,340",Mar 30,Neon,false
457,Gauguin: Voyage to Tahiti,-,-,-,"$200,140",14,"$200,140",Jul 11,Cohen Media Group,false
458,"Rebel Without a Cause
2018 Re-release",-,-,-,"$199,963",660,"$199,963",Sep 23,Fathom Events,false
459,Have It All -The Movie,-,-,-,"$197,142",640,"$197,142",Aug 7,-,false
460,Fate/Stay Night: Heaven's Feel - I. Presage Flower,-,-,-,"$193,833",245,"$193,833",Jun 5,Fathom Events,false
461,The Final Year,-,-,-,"$191,900",39,"$191,900",Jan 19,Magnolia Pictures,false
462,Studio 54,-,-,-,"$190,412",14,"$199,767",Oct 5,Zeitgeist Films,false
463,The Bolshoi Ballet: Live From Moscow - Don Quixote,-,-,-,"$187,946",358,"$187,946",Dec 2,Fathom Events,false
464,The Monkey King 3,-,-,-,"$187,074",34,"$187,074",Feb 16,Well Go USA Entertainment,false
465,Goldbuster,-,-,-,"$186,135",24,"$186,135",Jan 5,Well Go USA Entertainment,false
466,Summer 1993,-,-,-,"$185,903",19,"$185,903",May 25,Oscilloscope,false
467,Never-Ending Man: Hayao Miyazaki,-,-,-,"$185,871",377,"$187,320",Dec 13,GKIDS,false
468,Maquia: When the Promised Flower Blooms,-,-,-,"$185,699",221,"$185,699",Jul 20,Eleven Arts,false
469,Madeline's Madeline,-,-,-,"$185,576",33,"$185,576",Aug 10,Oscilloscope,false
470,National Theatre Live: King Lear,-,-,-,"$185,305",514,"$185,305",Sep 27,Fathom Events,false
471,"Cobra Kai Premiere Event feat. The Karate Kid
2018 NCM Fathom Event",-,-,-,"$185,082",678,"$185,082",Apr 25,Fathom Events,false
472,Island of Lemurs: Madagascar,-,-,-,"$182,388",302,"$11,272,213",Apr 4,Warner Bros.,false
473,Karwaan,-,-,-,"$182,009",58,"$182,009",Aug 3,-,false
474,Born to Be Wild,-,-,-,"$181,253",208,"$25,978,556",Apr 8,Warner Bros.,false
475,Last Letter,-,-,-,"$180,946",23,"$180,946",Nov 9,China Lion Film Distribution,false
476,The Accidental Detective 2: In Action,-,-,-,"$179,045",11,"$179,045",Jun 22,CJ Entertainment,false
477,BuyBust,-,-,-,"$178,471",25,"$178,471",Aug 10,Well Go USA Entertainment,false
478,The Guardians,-,-,-,"$177,331",10,"$177,331",May 4,Music Box Films,false
479,The Bolshoi Ballet: Live From Moscow - The Flames of Paris,-,-,-,"$175,922",360,"$175,922",Mar 4,Fathom Events,false
480,Always at The Carlyle,-,-,-,"$174,251",23,"$174,251",May 11,Good Deed Entertainment,false
481,Great Performances at the Met: Puccini: Turandot,-,-,-,"$172,627",356,"$172,627",Jul 18,Fathom Events,false
482,The Bolshoi Ballet: Live From Moscow - La Sylphide,-,-,-,"$171,177",355,"$171,177",Nov 11,Fathom Events,false
483,"The House That Jack Built
Uncensored Version",-,-,-,"$170,113",140,"$170,113",Nov 28,IFC Films,false
484,Luis and the Aliens,-,-,-,"$169,710",20,"$169,710",Aug 17,Viva Pictures,false
485,The Bolshoi Ballet: Live From Moscow - The Lady of the Camellias,-,-,-,"$167,991",358,"$167,991",Feb 4,Fathom Events,false
486,Rampant,-,-,-,"$167,937",29,"$167,937",Oct 26,Well Go USA Entertainment,false
487,Double Lover,-,-,-,"$167,581",51,"$167,581",Feb 14,Cohen Media Group,false
488,"Is Genesis History?
2018 Re-release",-,-,-,"$166,763",842,"$166,763",Feb 22,Fathom Events,false
489,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,-,-,-,"$166,616",14,"$166,616",May 11,Magnolia Pictures,false
490,Far From the Tree,-,-,-,"$166,018",22,"$166,018",Jul 20,IFC Films,false
491,Only the Brave,-,-,-,"$162,695","2,577","$18,343,983",Oct 20,Sony Pictures Entertainment (SPE),false
492,Journey's End,-,-,-,"$161,796",185,"$161,796",Mar 16,Good Deed Entertainment,false
493,"National Theatre Live: The Curious Incident of the Dog in the Night-Time
2018 Re-release",-,-,-,"$160,381",483,"$160,381",Jun 12,Fathom Events,false
494,Silencio,-,-,-,"$158,723",348,"$158,723",Oct 26,Tulip Pictures,false
495,"Cold War
2018 Re-release",-,-,-,"$152,831",270,"$4,580,048",Dec 21,Amazon Studios,false
496,"Buttons, A New Musical Film",-,-,-,"$151,983",543,"$151,983",Dec 8,Fathom Events,false
497,Eating Animals,-,-,-,"$149,614",25,"$149,614",Jun 15,IFC Films,false
498,Ghost Stories,-,-,-,"$148,747",24,"$148,747",Apr 20,IFC Films,false
499,Bad Reputation,-,-,-,"$148,568",196,"$148,568",Sep 28,Magnolia Pictures,false
500,Museo,-,-,-,"$148,505",12,"$148,505",Sep 14,Vitagraph Films,false
501,"Night of the Living Dead
2018 Re-release",-,-,-,"$147,423",567,"$147,423",Oct 24,Fathom Events,false
502,The Little Mermaid,-,-,-,"$147,175",82,"$147,175",Aug 17,Conglomerate Media,false
503,"Mr. Smith Goes to Washington
2018 Re-release",-,-,-,"$144,738",590,"$144,738",Oct 14,Fathom Events,false
504,Swing Kids,-,-,-,"$142,473",21,"$222,001",Dec 21,Well Go USA Entertainment,false
505,Best F(r)iends Volume Two,-,-,-,"$141,524",544,"$141,524",Jun 1,Fathom Events,false
506,"Rudy
2018 Re-release",-,-,-,"$131,200",656,"$131,200",Aug 28,Fathom Events,false
507,Great Performances at the Met: Puccini: Madama Butterfly,-,-,-,"$129,730",355,"$129,730",Jun 20,Fathom Events,false
508,"Great Performances at the Met: Tchaikovsky: Eugene Onegin
2018 Re-release",-,-,-,"$129,498",354,"$129,498",Jul 11,Fathom Events,false
509,Great Performances at the Met: Verdi: Il Trovatore,-,-,-,"$129,393",351,"$129,393",Jun 27,Fathom Events,false
510,Support the Girls,-,-,-,"$129,124",35,"$129,124",Aug 24,Magnolia Pictures,false
511,"Sleepless in Seattle
2018 Re-release",-,-,-,"$127,281",419,"$127,281",Dec 2,Fathom Events,false
512,Monster Family,-,-,-,"$127,259",15,"$127,259",Feb 9,Viva Pictures,false
