Brand                   ,Description                                                          ,Catérogie   ,Format (petit)         ,Prix Total ,Prix unitaire ,Format (grand)     ,Prix Total ,Prix unitaire ,URL
Yves veggie             ,Burger 300 g                                                         ,charcuterie ,unité (300g)           ,6.79       ,2.263         ,caisse (12x300g)   ,64.99      ,1.805         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/pret-a-manger/viande-vege/burger-yves-veggie-48458/
Piller's                ,Bâtonnets de pepperoni fort 12 x 25 g                                ,charcuterie ,unité (12x25g)         ,11.99      ,99.917        ,caisse (6x12x25g)  ,63.99      ,3.555         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/pepperoni/pepperoni-en-baton-fort-pillers-22884/
Mastro                  ,Calabrese régulier 300 g                                             ,charcuterie ,unité (300g)           ,9.49       ,3.163         ,caisse (12x300g)   ,97.99      ,2.722         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/salami/calabrese-regulier-mastro-10045/
Nostrano                ,Calabrese tranchée 125 g                                             ,charcuterie ,unité (125g)           ,4.69       ,3.752         ,caisse (12x125g)   ,49.99      ,3.333         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/salami/calabrese-tranchee-nostrano-10054/
Maison Fayard           ,Canard confit du sud-ouest de la France 765 g                        ,charcuterie ,unité (765g)           ,24.99      ,3.267         ,caisse (12x765g)   ,252.99     ,2.756         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/canard-confit-sud-ouest-maison-fayard-28460/
Fantino                 ,Capicolle au poivre noir tranché 125 g                               ,charcuterie ,unité (125G)           ,5.99       ,4.792         ,caisse (10X125G)   ,53.99      ,4.319         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicolle-poivre-noir-tranche-fantino-29881/
Roma                    ,Capicolle extra fort                                                 ,charcuterie ,"unité (env. 1,6 kg)"  ,19.49      ,1.218         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicolle-extra-fort-roma-34327/
Salamina                ,"Capicolle jambon cuit doux 2,65 kg"                                 ,charcuterie ,"unité (env. 2,65 kg)" ,13.99      ,0.528         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicollo-jambon-cuit-doux-salamina-10058/
Roma                    ,Capicolle plat piquant tranché 125 g                                 ,charcuterie ,unité (125g)           ,2.59       ,2.072         ,caisse (12x125g)   ,28.99      ,1.933         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicolle-plat-fort-tranche-roma-37318/
Roma                    ,Capicolli à l'ancienne doux                                          ,charcuterie ,"unité (env. 1,6 kg)"  ,19.49      ,1.218         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicolli-a-lancienne-doux-roma-29494/
Nostrano                ,Capicollo cuit doux 1 kg                                             ,charcuterie ,"unité (env. 3,2 kg)"  ,12.59      ,0.393         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicollo-cuit-doux-1-kg-nostrano-25711/
Salamina                ,"Capicollo de jambon cuit fort 2,5 kg"                               ,charcuterie ,"unité (env. 2,5 kg)"  ,13.99      ,0.56          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicollo-jambon-cuit-fort-salamina-10057/
Fantino                 ,"Capicollo doux nature entier 2,5 kg"                                ,charcuterie ,"unité (env. 2,5 kg)"  ,20.99      ,0.84          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicollo-doux-nature-entier-fantino-25516/
