Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Pepsi,Boisson gazeuse sans sucre Pepsi 355 ml x24,boisson,N/A,N/A,N/A,caisse (24x355ml),8.99,0.106,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-pepsi-diete-pepsi-13628/
Schweppes,Boisson gazeuse soda tonique 355 ml,boisson,N/A,N/A,N/A,caisse (12X355ml),5.49,0.129,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-soda-tonique-schweppes-41377/
Fanta,Boisson gazeuse à l'orange 12 x 355 ml,boisson,N/A,N/A,N/A,caisse (12x355ml),6.29,0.148,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-a-la-tangerine-fanta-07674/
Crush,Boisson gazeuse à l'orange 355 ml,boisson,N/A,N/A,N/A,caisse (24x355ml),8.99,0.106,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-a-lorange-crush-13486/
Crodino,Boisson italienne apéritif sans alcool 100 ml,boisson,unité (8X100ml),9.49,118.625,caisse (6X8X100ml),53.99,1.125,https://www.mayrand.ca/fr/nos-produits/boisson/jus-et-boisson/jus-et-boisson-aux-fruits/boisson-italienne-aperitif-sans-alcool-crodino-37148/
Sunny Delight,Boisson originale à l'orange 500 ml,boisson,unité (500ml),1.49,0.298,caisse (12x500ml),15.79,0.263,https://www.mayrand.ca/fr/nos-produits/boisson/jus-et-boisson/jus-frais/boisson-originale-a-lorange-sunny-delight-44939/
Fairlee,Boisson punch aux fruits 24 x 300 ml,boisson,N/A,N/A,N/A,caisse (24x300ml),14.99,0.208,https://www.mayrand.ca/fr/nos-produits/boisson/jus-et-boisson/jus-et-boisson-aux-fruits/boisson-punch-aux-fruits-fairlee-13931/
Rougemont,Boisson punch aux fruits 4 x 8 x 200 ml,boisson,N/A,N/A,N/A,caisse (4x8x200ml),10.39,0.162,https://www.mayrand.ca/fr/nos-produits/boisson/jus-et-boisson/jus-et-boisson-aux-fruits/boisson-punch-aux-fruits-rougemont-14884/
San Pellegrino,Boisson pétillante Aranciata 330 ml,boisson,unité (6X330ml),4.69,78.167,caisse (4X6X330ml),17.49,0.221,https://www.mayrand.ca/fr/nos-produits/boisson/eau/eau-petillante/boisson-petillante-aranciata-san-pellegrino-44515/
San Pellegrino,Boisson pétillante Aranciata Rossa 330 ml,boisson,unité (1x6x330ml),4.69,469.0,caisse (4x6x330ml),17.49,0.221,https://www.mayrand.ca/fr/nos-produits/boisson/eau/eau-petillante/boisson-petillante-aranciata-rosa-san-pellegrino-14864/
San Pellegrino,Boisson pétillante Clementina 300 ml,boisson,unité (6X330ml),4.69,78.167,caisse (4X6X330ml),17.49,0.221,https://www.mayrand.ca/fr/nos-produits/boisson/eau/eau-petillante/boisson-petillante-clementina-san-pellegrino-33212/
San Pellegrino,Boisson pétillante Limonata 330 ml,boisson,unité (6X330ml),4.69,78.167,caisse (4X6X330ml),17.49,0.221,https://www.mayrand.ca/fr/nos-produits/boisson/eau/eau-petillante/boisson-petillante-limonata-san-pellegrino-39124/
