Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
IEL,Contenant rectangulaire avec couvercle 12 L,equipement,unité (12L),9.99,0.083,caisse (12x12L),99.99,0.069,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-rectangulaire-60518-avec-couvercle-iel-19208/
IEL,"Contenant rectangulaire avec couvercle 4,86 L",equipement,unité (4.86L),5.99,0.123,caisse (24x4.86L),126.99,0.109,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-rectangulaire-60520--couvercle-4.86l-iel-13488/
IEL,"Contenant rectangulaire avec couvercle 4,86 L",equipement,unité (4.86L),5.99,0.123,caisse (24x4.86L),126.99,0.109,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-rectangulaire-60520--couvercle-4.86l-iel-13488/
IEL,Contenant rectangulaire avec couvercle 6 L,equipement,unité (6L),7.99,0.133,caisse (12x6L),77.99,0.108,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-rectangulaire-60517-avec-couvercle-iel-19209/
IEL,Contenant rond avec couvercle,equipement,unité (3.7L),3.99,0.108,caisse (12x3.7L),36.99,0.083,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-rondavec-couvercle-60513-iel-49023/
Eurodib,Coupe légumes professionnel,equipement,unité (1un),779.99,779.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/accessoire-de-cuisine/coupe-legume/coupe-legume-professionnel-eurodib-25767/
Sagetra,Coupe pomme de terre extra robuste 1/2,equipement,unité (1un),89.99,89.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/trancheur-2761b346/coupe-pomme-de-terre-extra-robuste-12-sagetra-25713/
Sagetra,Coupe pomme de terre extra robuste 1/4,equipement,unité (1un),89.99,89.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/trancheur-2761b346/coupe-pomme-de-terre-extra-robuste-14-sagetra-25714/
Starfrit,Coupe-frite,equipement,unité (1un),21.99,21.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/trancheur-2761b346/coupe-frites-starfrit-28587/
Starfrit,Coupe-frites Easy Fries,equipement,unité (1un),10.99,10.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/trancheur-2761b346/coupe-frites-easy-fries-starfrit-28588/
