Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Table Accents,"Assiette à dîner compostable 17,7 cm / 7 x125",emballage,unité (125un),7.99,0.064,caisse (8X125un),57.99,0.058,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-compostable-7-table-accents-23751/
Table Accents,"Assiette à dîner compostable 22,6 cm / 9 x125",emballage,unité (125un),14.99,0.12,caisse (4X125un),53.99,0.108,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-compostable-9-table-accents-23755/
Table Accents,"Assiette à dîner compostable 25,4 cm / 10 x125",emballage,unité (125un),20.99,0.168,caisse (4X125un),75.99,0.152,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-compostable-10-table-accents-23753/
Yoshi,"Assiette à dîner noire 26,7 cm / 10,5 x10",emballage,unité (10un),12.99,1.299,caisse (12x10un),135.99,1.133,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-diner-noire-jetable-105-yoshi-14498/
Yoshi,"Assiette à salade blanche et argent 19 cm / 7,5 x10",emballage,unité (10un),6.29,0.629,caisse (12x10un),65.49,0.546,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-salade-blanche-argent-19-cm--75-yoshi-15762/
Yoshi,"Assiette à salade bronze et or 19 cm / 7,5'' x10",emballage,unité (10un),6.99,0.699,caisse (12x10un),70.99,0.592,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-salade-creuse-bronze-et-or-75-yoshi-15763/
Yoshi,"Assiette à salade bronze et or 19 cm / 7,5'' x10",emballage,unité (10un),6.99,0.699,caisse (12x10un),70.99,0.592,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-salade-creuse-bronze-et-or-75-yoshi-15763/
Party Couture,Assiette à salade transparente x12,emballage,unité (12un),2.69,0.224,caisse (24X12un),51.99,0.181,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-transparente-concave-party-couture-22771/
Party Couture,Assiette à socle transparente x8,emballage,unité (8un),2.99,0.374,caisse (24X8un),65.99,0.344,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-socle-transparente-party-couture-31164/
Yoshi,"Assiette à soupe blanche 30,5 cm / 12 x10",emballage,unité (10un),11.99,1.199,caisse (12x10un),118.99,0.992,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-soupe-blanche-jetable-12-yoshi-14502/
Alcan,"Assiette à tarte en aluminium 12,7 cm / 5'' x100",emballage,unité (100un),9.69,0.097,caisse (25x100un),221.99,0.089,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-tarte-en-aluminium-5-alcan-15244/
HFA,"Assiette à tarte en aluminium 12,7 cm / 5'' x100",emballage,unité (100un),18.99,0.19,caisse (20x100un),269.99,0.135,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-tarte-en-aluminium-5-hfa-25318/
HFA,"Assiette à tarte en aluminium 15,2 cm / 6'' x50",emballage,unité (50un),9.99,0.2,caisse (20x50un),159.99,0.16,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-tarte-en-aluminium-6-hfa-25319/
HFA,"Assiette à tarte en aluminium 20,3 cm / 8'' x50",emballage,unité (50un),9.49,0.19,caisse (10X50un),87.99,0.176,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-tarte-en-aluminium-8-hfa-25322/
