Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
L'Extra,Brie L'Extra double crème 400 g,produits-laitiers,"unité (env. 0,4 kg)",26.19,6.547,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/brie-lextra-double-creme-coupe-lextra-11722/
Alexis de Portneuf,Brie Triple Crème Saint-Honoré 1 kg,produits-laitiers,unité (env. 1 kg),32.99,3.299,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-st-honore-coupe-alexis-de-portneuf-37445/
D'Affinois,Brie aux truffes 2 kg,produits-laitiers,unité (env. 2 kg),52.99,2.65,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/brie-aux-truffes-coupe-daffinois-06624/
D'Affinois,Brie aux truffes 250 g,produits-laitiers,"unité (env. 0,25 kg)",48.49,19.396,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/brie-aux-truffes-meule-daffinois-06621/
Agropur,Brie baguette double crème 1 kg,produits-laitiers,unité (env. 1 kg),25.99,2.599,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/brie-baguette-lextra-double-creme-coupe-agropur-27744/
Chevalier,Brie canadien triple crème,produits-laitiers,unité (env. 1 kg),28.99,2.899,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-brie-triple-creme-coupe-chevalier-46464/
Alexis de Portneuf,Brie double crème Brise du Matin 280 g,produits-laitiers,"unité (env. 0,28 kg)",25.59,9.139,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-brie-brise-du-matin-coupe-alexis-de-portneuf-04535/
Alexis de Portneuf,"Brie double crème Brise du Matin meule 1,2 kg",produits-laitiers,"unité (env. 1,2 kg)",23.59,1.966,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-brie-brise-du-matin-en-meule-alexis-de-portneuf-04534/
Alexis de Portneuf,"Brie double crème Brise du Matin meule 1,2 kg",produits-laitiers,"unité (env. 1,2 kg)",23.59,1.966,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-brie-brise-du-matin-en-meule-alexis-de-portneuf-04534/
Le Pont Tournant,Brie double crème Le Pont Tournant,produits-laitiers,"unité (env. 0,2 kg)",26.99,13.495,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-a-pate-molle-et-a-croute-fleurie-coupe-le-pont-tournant-24418/
