Brand             ,Description                                                       ,Catérogie    ,Format (petit)          ,Prix Total ,Prix unitaire ,Format (grand)   ,Prix Total ,Prix unitaire ,URL
Not available     ,Filet de maquereau 200 g                                          ,poissonnerie ,"unité (env. 0,2 kg)"   ,7.99       ,3.995         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/maquereau-filet-decongele---kg--53070/
Not available     ,Filet de maquereau 200 g                                          ,poissonnerie ,"unité (env. 0,2 kg)"   ,7.99       ,3.995         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/maquereau-filet-decongele---kg--53070/
Atkins et frères  ,Filet de maquereau fumé au poivre 150 g                           ,poissonnerie ,unité (150g)            ,4.99       ,3.327         ,caisse (20x150g) ,91.99      ,3.066         ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poisson-traiteur/filet-de-maquereau-fume-au-poivre-atkins-et-freres-53097/
Atkins et frères  ,Filet de maquereau fumé aux fines herbes  150 g                   ,poissonnerie ,unité (150g)            ,4.99       ,3.327         ,caisse (20x150g) ,91.99      ,3.066         ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poisson-traiteur/filet-maquereau-fines-herbes-fume-atkins-et-freres-53096/
Atkins et frères  ,Filet de maquereau fumé façon cajun 150 g                         ,poissonnerie ,unité (150g)            ,4.99       ,3.327         ,caisse (20x150g) ,91.99      ,3.066         ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poisson-traiteur/filet-maquereau-cajun-fume-atkins-et-freres-53094/
Not available     ,Filet de merluche                                                 ,poissonnerie ,"unité (env. 0,25 kg)"  ,17.61      ,7.044         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/filet-de-merluche--52976/
Not available     ,Filet de morue charbonnière 600 g                                 ,poissonnerie ,"unité (env. 0,6 kg)"   ,55.09      ,9.182         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/morue/filet-de-morue-charbonniere--52932/
Not available     ,Filet de morue d'Islande frais 250 g                              ,poissonnerie ,"unité (env. 0,25 kg)"  ,34.99      ,13.996        ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/morue/filet-de-morue-dislande-frais--52919/
Not available     ,Filet de morue du Canada frais                                    ,poissonnerie ,"unité (env. 0,5 kg)"   ,24.23      ,4.846         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/morue/filet-de-morue-canadien-frais--53112/
Not available     ,Filet de morue décongelé 450 g                                    ,poissonnerie ,"unité (env. 0,45 kg)"  ,19.99      ,4.442         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/morue/filet-de-morue-decongele--52926/
Not available     ,Filet de morue décongelé format économique 1 kg                   ,poissonnerie ,unité (env. 1 kg)       ,18.99      ,1.899         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/morue/filet-de-morue-decongelee-format-economique--53026/
Not available     ,Filet de morue frais format économique 600 g                      ,poissonnerie ,"unité (env. 0,6 kg)"   ,33.05      ,5.508         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/morue/filet-de-morue-dislande-frais-format-economique--53134/
Not available     ,Filet de pangasius décongelé format économique 600 g              ,poissonnerie ,"unité (env. 0,6 kg)"   ,6.99       ,1.165         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/filet-de-pangasius-decongele-format-economique--09989/
Not available     ,Filet de saumon Sockeye 500 g                                     ,poissonnerie ,"unité (env. 0,5 kg)"   ,44.07      ,8.814         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/saumon/filet-de-saumon-sockeye---52930/
Not available     ,Filet de saumon décongelé sans antibiotiques 200 g                ,poissonnerie ,"unité (env. 0,2 kg)"   ,26.99      ,13.495        ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/saumon/filet-de-saumon-sans-antibiotiques-decongele--53064/
Not available     ,Filet de saumon entier frais 1 kg                                 ,poissonnerie ,unité (env. 1 kg)       ,22.99      ,2.299         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/saumon/filet-de-saumon-entier-frais--52947/
Not available     ,Filet de saumon frais format économique 1 kg                      ,poissonnerie ,unité (env. 1 kg)       ,21.99      ,2.199         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/saumon/filet-de-saumon-frais-format-economique--53132/
Fumoir Gosselin   ,Filet de saumon fumé à chaud surgelé                              ,poissonnerie ,"unité (env. 0,8 kg)"   ,42.99      ,5.374         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/saumon/filet-de-saumon-fume-a-chaud-non-tranche-fumoir-gosselin-50051/
Not available     ,Filet de saumon surgelé sans antibiotiques format économique 1 kg ,poissonnerie ,unité (env. 1 kg)       ,25.99      ,2.599         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/saumon/saum-filet-santibio-fe-fr-kg--53065/
Not available     ,Filet de sole décongelé 300 g                                     ,poissonnerie ,"unité (env. 0,3 kg)"   ,17.61      ,5.87          ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/filet-de-sole-decongele--52959/
Not available     ,Filet de sole décongelé format économique 600 g                   ,poissonnerie ,"unité (env. 0,6 kg)"   ,15.41      ,2.568         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/filet-de-sole-decongele-format-economique--53129/
Not available     ,Filet de sébaste frais Fourchette bleue 200 g                     ,poissonnerie ,"unité (env. 0,2 kg)"   ,13.99      ,6.995         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/sebaste-de-louest-frais--54006/
Not available     ,Filet de tilapia frais                                            ,poissonnerie ,"unité (env. 0,2 kg)"   ,18.99      ,9.495         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/filet-de-tilapia-frais--52963/
Not available     ,Filet de tilapia frais format économique 600 g                    ,poissonnerie ,"unité (env. 0,6 kg)"   ,16.99      ,2.832         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/filet-de-tilapia-frais-format-economique--53128/
Not available     ,Filet de truite arc en ciel frais format économique 1 kg          ,poissonnerie ,unité (env. 1 kg)       ,22.59      ,2.259         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/truite/filet-de-truite-arc-en-ciel-format-economique--53130/
Not available     ,Filet de truite arc-en-ciel frais 250 g                           ,poissonnerie ,"unité (env. 0,25 kg)"  ,24.69      ,9.876         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/truite/filet-de-truite-arc-en-ciel-frais---52998/
Not available     ,Filet de truite saumonée 500 g                                    ,poissonnerie ,"unité (env. 0,5 kg)"   ,26.59      ,5.318         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/truite/filet-de-truite-saumonnee-frais--52966/
Not available     ,Filet de truite saumonée frais format économique 1 kg             ,poissonnerie ,unité (env. 1 kg)       ,25.59      ,2.559         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/truite/filet-de-truite-saumonee-format-economique--53131/
Not available     ,Filet de turbot frais 200 g                                       ,poissonnerie ,"unité (env. 0,2 kg)"   ,24.23      ,12.115        ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/filet-de-turbot-frais--52969/
Not available     ,Filet de turbot frais format économique 600 g                     ,poissonnerie ,"unité (env. 0,6 kg)"   ,22.99      ,3.832         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/filet-de-turbot-degele-format-economique--55452/
SeaDNA            ,Filet mignon de loup-marin Fourchette bleue 275 g                 ,poissonnerie ,"unité (env. 0,275 kg)" ,59.99      ,21.815        ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/autre-047bb820/filet-mignon-de-loup-marin-un-seadna-55456/
